"","name","y_rmse","mean1","mean2","var1","var2"
"173","var",4.41820072256131,8.71923076923077,-0.01,1,1
"174","y1",8.79088340757392,8.71923076923077,-0.01,1,1
"175","y2",0.993580601048797,8.71923076923077,-0.01,1,1
"176","rmse",1.26533035982324,8.97538461538462,-0.01,1,1
"177","unif",4.52220683828362,8.97538461538462,-0.01,1,1
"178","var",4.53292032299231,8.97538461538462,-0.01,1,1
"179","y1",9.01646910459006,8.97538461538462,-0.01,1,1
"180","y2",1.00921941226076,8.97538461538462,-0.01,1,1
"181","rmse",1.26180992180613,9.23153846153846,-0.01,1,1
"182","unif",4.66280533302881,9.23153846153846,-0.01,1,1
"183","var",4.67877271046739,9.23153846153846,-0.01,1,1
"184","y1",9.28484571844785,9.23153846153846,-0.01,1,1
"185","y2",0.993940110658891,9.23153846153846,-0.01,1,1
"186","rmse",1.26706404382365,9.48769230769231,-0.01,1,1
"187","unif",4.79158816272778,9.48769230769231,-0.01,1,1
"188","var",4.81054012791599,9.48769230769231,-0.01,1,1
"189","y1",9.5453218936512,9.48769230769231,-0.01,1,1
"190","y2",0.996560793617714,9.48769230769231,-0.01,1,1
"191","rmse",1.2844409929802,9.74384615384615,-0.01,1,1
"192","unif",4.91405922212036,9.74384615384615,-0.01,1,1
"193","var",4.90860643745195,9.74384615384615,-0.01,1,1
"194","y1",9.78215111621266,9.74384615384615,-0.01,1,1
"195","y2",1.00421306231707,9.74384615384615,-0.01,1,1
"196","rmse",1.27382113177748,10,-0.01,1,1
"197","unif",5.04351008842365,10,-0.01,1,1
"198","var",5.05388994335843,10,-0.01,1,1
"199","y1",10.0438498965959,10,-0.01,1,1
"200","y2",0.992646440202245,10,-0.01,1,1
"201","rmse",0.70786476415039,0.01,-0.266153846153846,1,1
"202","unif",0.707998757496879,0.01,-0.266153846153846,1,1
"203","var",0.708024318771556,0.01,-0.266153846153846,1,1
"204","y1",0.998458340024634,0.01,-0.266153846153846,1,1
"205","y2",1.02101465680426,0.01,-0.266153846153846,1,1
"206","rmse",0.708929028991599,0.266153846153846,-0.266153846153846,1,1
"207","unif",0.708957550311811,0.266153846153846,-0.266153846153846,1,1
"208","var",0.70894078907214,0.266153846153846,-0.266153846153846,1,1
"209","y1",1.03678405026379,0.266153846153846,-0.266153846153846,1,1
"210","y2",1.02630230612542,0.266153846153846,-0.266153846153846,1,1
"211","rmse",0.70859292351372,0.522307692307692,-0.266153846153846,1,1
"212","unif",0.711119313659535,0.522307692307692,-0.266153846153846,1,1
"213","var",0.711217702249799,0.522307692307692,-0.266153846153846,1,1
"214","y1",1.12656574435072,0.522307692307692,-0.266153846153846,1,1
"215","y2",1.02654725179446,0.522307692307692,-0.266153846153846,1,1
"216","rmse",0.743662587174046,0.778461538461539,-0.266153846153846,1,1
"217","unif",0.75603442119559,0.778461538461539,-0.266153846153846,1,1
"218","var",0.75659086741934,0.778461538461539,-0.266153846153846,1,1
"219","y1",1.26732213185076,0.778461538461539,-0.266153846153846,1,1
"220","y2",1.03871641182119,0.778461538461539,-0.266153846153846,1,1
"221","rmse",0.766592338350748,1.03461538461538,-0.266153846153846,1,1
"222","unif",0.801610789053956,1.03461538461538,-0.266153846153846,1,1
"223","var",0.801924776039732,1.03461538461538,-0.266153846153846,1,1
"224","y1",1.4256608914636,1.03461538461538,-0.266153846153846,1,1
"225","y2",1.0296010911517,1.03461538461538,-0.266153846153846,1,1
"226","rmse",0.792714344709934,1.29076923076923,-0.266153846153846,1,1
"227","unif",0.863246855757433,1.29076923076923,-0.266153846153846,1,1
"228","var",0.863963509578271,1.29076923076923,-0.266153846153846,1,1
"229","y1",1.62279690616117,1.29076923076923,-0.266153846153846,1,1
"230","y2",1.03937345062966,1.29076923076923,-0.266153846153846,1,1
"231","rmse",0.830592071896883,1.54692307692308,-0.266153846153846,1,1
"232","unif",0.952333135347806,1.54692307692308,-0.266153846153846,1,1
"233","var",0.953846149745284,1.54692307692308,-0.266153846153846,1,1
"234","y1",1.83829697406107,1.54692307692308,-0.266153846153846,1,1
"235","y2",1.03959031393577,1.54692307692308,-0.266153846153846,1,1
"236","rmse",0.858663472531174,1.80307692307692,-0.266153846153846,1,1
"237","unif",1.04343745192904,1.80307692307692,-0.266153846153846,1,1
"238","var",1.04317678628107,1.80307692307692,-0.266153846153846,1,1
"239","y1",2.06147144693304,1.80307692307692,-0.266153846153846,1,1
"240","y2",1.03883557025338,1.80307692307692,-0.266153846153846,1,1
"241","rmse",0.893081718913938,2.05923076923077,-0.266153846153846,1,1
"242","unif",1.15149362676407,2.05923076923077,-0.266153846153846,1,1
"243","var",1.14713543805943,2.05923076923077,-0.266153846153846,1,1
"244","y1",2.3054599024804,2.05923076923077,-0.266153846153846,1,1
"245","y2",1.04535395454699,2.05923076923077,-0.266153846153846,1,1
"246","rmse",0.911791692021865,2.31538461538462,-0.266153846153846,1,1
"247","unif",1.24789353414881,2.31538461538462,-0.266153846153846,1,1
